name,latitude,longitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
griegesperanza,49.88,-126.77,50,15,2620,40,wide,0,"[datetime.datetime(2025, 2, 12, 18, 47, 12, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 47, 48, tzinfo=datetime.timezone.utc)]"
griegclio,50.60,-126.38,50,30,2610,40,wide,0,"[datetime.datetime(2025, 2, 12, 18, 46, 59, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 47, 37, tzinfo=datetime.timezone.utc)]"
griegnootka,49.71,-126.58,50,30,2600,30,wide,0,"[datetime.datetime(2025, 2, 12, 18, 47, 13, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 47, 51, tzinfo=datetime.timezone.utc)]"
griegokisollo,50.32,-125.26,50,30,2590,30,wide,0,"[datetime.datetime(2025, 2, 12, 18, 46, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 20, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 47, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 21, tzinfo=datetime.timezone.utc)]"
catala,49.78,-127.1,40,15,2580,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 46, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 15, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 48, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 22, tzinfo=datetime.timezone.utc)]"
vancouver,49.11,-123.12,40,15,2570,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 46, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 22, 19, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 48, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 35, tzinfo=datetime.timezone.utc)]"
blubberbay,49.8,-124.62,40,20,2560,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 46, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 22, 39, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 48, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 43, tzinfo=datetime.timezone.utc)]"
deepbay,49.46,-124.74,40,30,2550,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 46, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 22, 37, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 48, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 36, tzinfo=datetime.timezone.utc)]"
sechelt,49.3,-123.77,40,30,2540,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 46, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 22, 26, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 48, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 37, tzinfo=datetime.timezone.utc)]"
whalersbay,48.89,-123.33,40,30,2530,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 46, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 22, 17, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 48, 20, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 31, tzinfo=datetime.timezone.utc)]"
checleset,49.58,-127.5,30,60,2520,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 46, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 22, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 6, 22, 18, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 48, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 6, 23, 15, tzinfo=datetime.timezone.utc)]"
mjosa,60.7043,11.0459,40,20,2510,35,wide,0,"[datetime.datetime(2025, 2, 12, 20, 2, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 21, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 53, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 20, 4, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 22, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 49, 9, tzinfo=datetime.timezone.utc)]"
campbellriver,50.01924387812201,-125.31197202271731,50,30,2500,40,wide,0,"[datetime.datetime(2025, 2, 12, 18, 47, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 20, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 47, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 5, 23, 13, tzinfo=datetime.timezone.utc)]"
vigo,42.271441,-8.710142,60,30,2490,30,wide,0,"[datetime.datetime(2025, 2, 12, 11, 0, 28, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 11, 0, 46, tzinfo=datetime.timezone.utc)]"
griegloppa,70.27,22.34,50,10,2480,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 32, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 18, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 31, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 45, 22, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 32, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 19, 20, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 32, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 46, 12, tzinfo=datetime.timezone.utc)]"
grieghammerfest,70.51,23.53,40,15,2470,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 31, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 18, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 17, 59, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 31, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 44, 57, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 33, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 19, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 17, 59, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 32, 39, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 46, 26, tzinfo=datetime.timezone.utc)]"
griegnordkapp,70.93,25.75,60,5,2460,35,wide,0,"[datetime.datetime(2025, 2, 12, 18, 32, 27, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 45, 22, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 32, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 45, 40, tzinfo=datetime.timezone.utc)]"
rogaland,59.17,5.67,60,10,2450,35,wide,0,"[datetime.datetime(2025, 2, 13, 10, 22, 20, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 13, 10, 22, 39, tzinfo=datetime.timezone.utc)]"
barentssea1,75.0313,26.0859,50,15,2440,45,wide,0,"[datetime.datetime(2025, 2, 12, 10, 51, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 18, 33, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 17, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 17, 59, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 44, 22, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 51, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 18, 34, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 18, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 18, 0, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 44, 54, tzinfo=datetime.timezone.utc)]"
barentssea2,76.1483,29.6704,50,15,2435,45,wide,0,"[datetime.datetime(2025, 2, 12, 10, 50, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 17, 0, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 18, 33, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 17, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 17, 59, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 43, 48, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 51, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 17, 0, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 18, 34, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 18, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 18, 0, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 44, 34, tzinfo=datetime.timezone.utc)]"
barentssea4,72.0984,42.5671,50,15,2430,45,wide,0,"[datetime.datetime(2025, 2, 12, 16, 59, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 8, 44, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 17, 58, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 8, 11, 26, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 16, 59, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 8, 45, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 17, 59, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 8, 11, 56, tzinfo=datetime.timezone.utc)]"
barentssea5,72.4790,47.3263,50,15,2425,45,wide,0,"[datetime.datetime(2025, 2, 12, 16, 58, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 8, 44, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 16, 25, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 8, 11, 4, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 16, 59, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 8, 45, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 16, 25, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 8, 11, 51, tzinfo=datetime.timezone.utc)]"
barentssea3,69.7891,38.6458,50,15,2432,45,wide,0,"[datetime.datetime(2025, 2, 12, 18, 31, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 8, 45, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 17, 58, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 8, 12, 15, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 31, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 8, 46, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 17, 58, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 8, 12, 28, tzinfo=datetime.timezone.utc)]"
norwegiansea,65.4120,8.9138,50,15,2421,45,wide,0,"[datetime.datetime(2025, 2, 12, 10, 54, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 4, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 32, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 54, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 5, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 21, 19, tzinfo=datetime.timezone.utc)]"
ijsselmeer,52.7324,5.5132,50,15,2414,45,wide,0,"[datetime.datetime(2025, 2, 13, 10, 23, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 0, 55, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 13, 10, 24, 22, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 1, 39, tzinfo=datetime.timezone.utc)]"
englishatlantic,59.9411,-3.7930,50,15,2411,45,wide,0,"[datetime.datetime(2025, 2, 12, 10, 55, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 21, 36, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 3, 16, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 56, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 21, 37, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 3, 41, tzinfo=datetime.timezone.utc)]"
falklandsatlantic,-54.3096,-60.7053,50,15,2410,45,wide,0,"[datetime.datetime(2025, 2, 12, 12, 59, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 2, 47, 49, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 13, 0, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 2, 48, 31, tzinfo=datetime.timezone.utc)]"
sanjorgegulf,-46.0317,-65.5414,50,15,2400,45,wide,0,"[datetime.datetime(2025, 2, 13, 13, 57, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 2, 50, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 13, 13, 57, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 2, 50, 50, tzinfo=datetime.timezone.utc)]"
atlantic1,46.8348,-48.5813,50,10,2390,40,wide,0,"[datetime.datetime(2025, 2, 13, 0, 40, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 13, 33, 2, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 13, 0, 41, 20, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 13, 33, 42, tzinfo=datetime.timezone.utc)]"
northsea,52.9864,2.7583,50,10,2380,40,wide,0,"[datetime.datetime(2025, 2, 13, 10, 23, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 1, 3, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 13, 10, 24, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 1, 51, tzinfo=datetime.timezone.utc)]"
seaofazov,45.4941,36.6463,50,10,2365,35,wide,0,[],[]
caspiansea1,44.9028,47.9987,60,5,2360,30,wide,0,"[datetime.datetime(2025, 2, 12, 18, 25, 27, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 7, 18, 37, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 18, 25, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 7, 18, 49, tzinfo=datetime.timezone.utc)]"
caspiansea2,45.7185,50.1439,60,5,2350,30,wide,0,"[datetime.datetime(2025, 2, 13, 17, 52, 24, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 13, 17, 51, 49, tzinfo=datetime.timezone.utc)]"
caspiansea3,38.5324,53.3624,60,5,2340,30,wide,0,"[datetime.datetime(2025, 2, 13, 17, 50, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 6, 46, 37, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 13, 17, 50, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 6, 46, 55, tzinfo=datetime.timezone.utc)]"
northaustralia1,-13.6363,126.1688,60,5,2330,30,wide,0,"[datetime.datetime(2025, 2, 12, 13, 29, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 1, 19, 4, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 13, 28, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 1, 19, 15, tzinfo=datetime.timezone.utc)]"
northaustralia2,-15.6773,124.2246,60,5,2320,30,wide,0,[],[]
igalikufjorden,60.81,-45.58,60,10,2310,25,wide,0,"[datetime.datetime(2025, 2, 12, 14, 3, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 0, 10, 53, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 14, 3, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 0, 11, 6, tzinfo=datetime.timezone.utc)]"
bredefjord,60.85,-46.61,60,1,2300,25,wide,0,"[datetime.datetime(2025, 2, 12, 14, 3, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 0, 10, 52, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 14, 3, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 0, 11, 11, tzinfo=datetime.timezone.utc)]"
svalbardnyaalesund,78.96,11.95,60,1,2280,35,wide,0,"[datetime.datetime(2025, 2, 12, 12, 23, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 18, 34, 39, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 11, 50, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 18, 1, 18, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 12, 24, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 18, 34, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 11, 50, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 18, 1, 34, tzinfo=datetime.timezone.utc)]"
