name,latitude,longitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
griegesperanza,49.88,-126.77,50,15,2620,40,wide,0,"[datetime.datetime(2025, 1, 23, 6, 2, 18, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 23, 6, 2, 28, tzinfo=datetime.timezone.utc)]"
griegclio,50.60,-126.38,50,30,2610,40,wide,0,"[datetime.datetime(2025, 1, 23, 6, 2, 38, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 23, 6, 2, 28, tzinfo=datetime.timezone.utc)]"
griegnootka,49.71,-126.58,50,30,2600,30,wide,0,"[datetime.datetime(2025, 1, 23, 6, 2, 17, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 23, 6, 2, 23, tzinfo=datetime.timezone.utc)]"
griegokisollo,50.32,-125.26,50,30,2590,30,wide,0,[],[]
catala,49.78,-127.1,40,15,2580,35,wide,0,"[datetime.datetime(2025, 1, 22, 19, 26, 27, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 1, 49, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 19, 25, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 2, 56, tzinfo=datetime.timezone.utc)]"
vancouver,49.11,-123.12,40,15,2570,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 24, 59, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 26, 5, tzinfo=datetime.timezone.utc)]"
blubberbay,49.8,-124.62,40,20,2560,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 25, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 2, 10, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 25, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 2, 26, tzinfo=datetime.timezone.utc)]"
deepbay,49.46,-124.74,40,30,2550,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 25, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 2, 2, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 25, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 2, 24, tzinfo=datetime.timezone.utc)]"
sechelt,49.3,-123.77,40,30,2540,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 25, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 2, 23, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 25, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 1, 56, tzinfo=datetime.timezone.utc)]"
whalersbay,48.89,-123.33,40,30,2530,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 25, 4, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 26, 7, tzinfo=datetime.timezone.utc)]"
checleset,49.58,-127.5,30,60,2520,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 25, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 25, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 1, 15, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 25, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 26, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 3, 25, tzinfo=datetime.timezone.utc)]"
mjosa,60.7043,11.0459,40,20,2510,35,wide,0,"[datetime.datetime(2025, 1, 21, 10, 32, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 41, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 41, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 28, 18, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 33, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 41, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 1, 22, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 28, 12, tzinfo=datetime.timezone.utc)]"
campbellriver,50.01924387812201,-125.31197202271731,50,30,2500,40,wide,0,[],[]
vigo,42.271441,-8.710142,60,30,2490,30,wide,0,"[datetime.datetime(2025, 1, 22, 22, 11, 20, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 22, 11, 16, tzinfo=datetime.timezone.utc)]"
griegloppa,70.27,22.34,50,10,2480,35,wide,0,"[datetime.datetime(2025, 1, 21, 10, 30, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 57, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 10, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 25, 23, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 29, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 58, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 11, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 25, 46, tzinfo=datetime.timezone.utc)]"
grieghammerfest,70.51,23.53,40,15,2470,35,wide,0,"[datetime.datetime(2025, 1, 21, 10, 29, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 10, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 43, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 57, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 10, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 24, 45, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 30, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 10, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 43, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 58, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 12, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 26, 5, tzinfo=datetime.timezone.utc)]"
griegnordkapp,70.93,25.75,60,5,2460,35,wide,0,"[datetime.datetime(2025, 1, 22, 9, 57, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 11, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 25, 8, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 9, 57, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 11, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 25, 20, tzinfo=datetime.timezone.utc)]"
rogaland,59.17,5.67,60,10,2450,35,wide,0,"[datetime.datetime(2025, 1, 21, 10, 33, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 3, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 33, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 18, tzinfo=datetime.timezone.utc)]"
barentssea1,75.0313,26.0859,50,15,2440,45,wide,0,"[datetime.datetime(2025, 1, 21, 10, 28, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 11, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 56, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 39, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 24, 15, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 29, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 12, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 57, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 39, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 24, 23, tzinfo=datetime.timezone.utc)]"
barentssea2,76.1483,29.6704,50,15,2435,45,wide,0,"[datetime.datetime(2025, 1, 21, 10, 28, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 11, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 55, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 38, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 23, 42, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 28, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 11, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 56, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 39, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 24, 7, tzinfo=datetime.timezone.utc)]"
barentssea4,72.0984,42.5671,50,15,2430,45,wide,0,"[datetime.datetime(2025, 1, 21, 18, 10, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 23, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 37, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 24, 29, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 10, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 24, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 38, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 24, 8, tzinfo=datetime.timezone.utc)]"
barentssea5,72.4790,47.3263,50,15,2425,45,wide,0,"[datetime.datetime(2025, 1, 21, 16, 36, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 23, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 37, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 7, 50, 52, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 16, 37, 22, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 23, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 38, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 7, 51, 18, tzinfo=datetime.timezone.utc)]"
barentssea3,69.7891,38.6458,50,15,2432,45,wide,0,"[datetime.datetime(2025, 1, 21, 18, 9, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 24, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 37, 13, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 10, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 24, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 37, 49, tzinfo=datetime.timezone.utc)]"
norwegiansea,65.4120,8.9138,50,15,2421,45,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 43, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 43, 41, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 32, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 43, 27, tzinfo=datetime.timezone.utc)]"
ijsselmeer,52.7324,5.5132,50,15,2414,45,wide,0,"[datetime.datetime(2025, 1, 21, 21, 12, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 2, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 40, 14, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 21, 12, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 3, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 40, 43, tzinfo=datetime.timezone.utc)]"
englishatlantic,59.9411,-3.7930,50,15,2411,45,wide,0,"[datetime.datetime(2025, 1, 21, 21, 14, 29, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 21, 15, 18, tzinfo=datetime.timezone.utc)]"
falklandsatlantic,-54.3096,-60.7053,50,15,2410,45,wide,0,"[datetime.datetime(2025, 1, 22, 2, 59, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 38, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 2, 27, 17, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 2, 59, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 38, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 2, 27, 57, tzinfo=datetime.timezone.utc)]"
sanjorgegulf,-46.0317,-65.5414,50,15,2400,45,wide,0,"[datetime.datetime(2025, 1, 22, 3, 2, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 36, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 2, 29, 57, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 3, 2, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 36, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 2, 29, 49, tzinfo=datetime.timezone.utc)]"
atlantic1,46.8348,-48.5813,50,10,2390,40,wide,0,"[datetime.datetime(2025, 1, 21, 13, 44, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 0, 19, 23, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 13, 44, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 0, 19, 7, tzinfo=datetime.timezone.utc)]"
northsea,52.9864,2.7583,50,10,2380,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 34, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 21, 12, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 2, 54, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 35, 27, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 21, 13, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 2, 59, tzinfo=datetime.timezone.utc)]"
seaofazov,45.4941,36.6463,50,10,2365,35,wide,0,"[datetime.datetime(2025, 1, 22, 19, 4, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 7, 57, 46, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 19, 4, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 7, 58, 35, tzinfo=datetime.timezone.utc)]"
caspiansea1,44.9028,47.9987,60,5,2360,30,wide,0,"[datetime.datetime(2025, 1, 21, 18, 3, 21, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 3, 16, tzinfo=datetime.timezone.utc)]"
caspiansea2,45.7185,50.1439,60,5,2350,30,wide,0,"[datetime.datetime(2025, 1, 21, 18, 3, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 6, 56, 55, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 3, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 6, 57, 3, tzinfo=datetime.timezone.utc)]"
caspiansea3,38.5324,53.3624,60,5,2340,30,wide,0,"[datetime.datetime(2025, 1, 21, 18, 1, 21, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 1, 36, tzinfo=datetime.timezone.utc)]"
northaustralia1,-13.6363,126.1688,60,5,2330,30,wide,0,[],[]
northaustralia2,-15.6773,124.2246,60,5,2320,30,wide,0,[],[]
igalikufjorden,60.81,-45.58,60,10,2310,25,wide,0,"[datetime.datetime(2025, 1, 21, 13, 40, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 23, 50, 20, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 13, 40, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 23, 50, 17, tzinfo=datetime.timezone.utc)]"
bredefjord,60.85,-46.61,60,1,2300,25,wide,0,"[datetime.datetime(2025, 1, 21, 13, 40, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 0, 22, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 23, 50, 33, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 13, 40, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 0, 22, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 23, 50, 10, tzinfo=datetime.timezone.utc)]"
svalbardnyaalesund,78.96,11.95,60,1,2280,35,wide,0,"[datetime.datetime(2025, 1, 21, 12, 1, 27, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 12, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 11, 29, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 2, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 40, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 13, 42, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 12, 1, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 12, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 11, 29, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 40, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 13, 23, tzinfo=datetime.timezone.utc)]"
svalbardeidembukta,78.38,12.30,60,1,2270,35,wide,0,"[datetime.datetime(2025, 1, 21, 12, 1, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 12, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 11, 29, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 40, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 13, 27, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 12, 1, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 12, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 11, 29, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 40, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 13, 21, tzinfo=datetime.timezone.utc)]"
